{'programainicio': 'programainicio'}
{'definainstrucao': 'definainstrucao'}
{'identificador': 'Trilha'}
{'como': 'como'}
{'inicio': 'inicio'}
{'mova': 'mova'}
{'numero': '2'}
{'passos': 'passos'}
{'aguarde': 'aguarde'}
{'ate': 'ate'}
{'robo': 'robo'}
{'pronto': 'pronto'}
{'vire': 'vire'}
{'para': 'para'}
{'esquerda': 'esquerda'}
{'apagar': 'apagar'}
{'lampada': 'lampada'}
{'vire': 'vire'}
{'para': 'para'}
{'direita': 'direita'}
{'mova': 'mova'}
{'numero': '3'}
{'passos': 'passos'}
{'aguarde': 'aguarde'}
{'ate': 'ate'}
{'robo': 'robo'}
{'pronto': 'pronto'}
{'fim': 'fim'}
{'execucaoinicio': 'execucaoinicio'}
{'repita': 'repita'}
{'numero': '3'}
{'vezes': 'vezes'}
{'identificador': 'Trilha'}
{'vire': 'vire'}
{'para': 'para'}
{'direita': 'direita'}
{'fimexecucao': 'fimexecucao'}
{'fimprograma': 'fimprograma'}
